round,decode_step,position,step_energy_mj,active_requests,per_token_energy_mj
0,365,365,78158.0001,29,2695.1035
0,366,366,79580.0,29,2744.1379
0,367,367,82435.9998,29,2842.6207
0,368,368,80447.0001,29,2774.0345
0,369,369,79685.0001,29,2747.7586
0,370,370,78138.0,29,2694.4138
0,371,371,79705.9997,29,2748.4827
0,372,372,79564.0,29,2743.5862
0,373,373,78226.0001,29,2697.4483
0,374,374,80197.0,29,2765.4138
0,375,375,80276.0001,29,2768.1379
0,376,376,78944.9999,29,2722.2414
0,377,377,82123.0003,29,2831.8276
0,378,378,81099.9999,29,2796.5517
0,379,379,80321.9999,29,2769.7241
0,380,380,81229.0001,29,2801.0
0,381,381,80104.0001,29,2762.2069
0,382,382,79551.9998,29,2743.1724
0,383,383,78283.0,29,2699.4138
0,384,384,80781.0001,29,2785.5517
0,385,385,80590.9998,29,2779.0
0,386,386,79230.9999,29,2732.1034
0,387,387,81484.0002,29,2809.7931
0,388,388,79714.9999,29,2748.7931
0,389,389,80184.9999,29,2765.0
0,390,390,79487.0001,29,2740.931
0,391,391,80349.0,29,2770.6552
0,392,392,80616.9997,29,2779.8965
0,393,393,80906.0001,29,2789.8621
0,394,394,79693.0001,29,2748.0345
0,395,395,80323.9999,29,2769.7931
0,396,396,82513.9999,29,2845.3103
0,397,397,78665.0002,29,2712.5862
0,398,398,80300.0,29,2768.9655
0,399,399,80658.0001,29,2781.3103
0,400,400,79762.9999,29,2750.4483
0,401,401,81107.9999,29,2796.8276
0,402,402,80579.0001,29,2778.5862
0,403,403,79774.0,29,2750.8276
0,404,404,80121.9999,29,2762.8276
0,405,405,80229.0,29,2766.5172
0,406,406,79875.0001,29,2754.3103
0,407,407,79477.0,29,2740.5862
0,408,408,80811.9998,29,2786.6207
0,409,409,80071.9998,29,2761.1034
0,410,410,319781.0003,29,11026.931
0,411,411,81996.9996,29,2827.4827
0,412,412,79967.0002,29,2757.4828
0,413,413,80671.9999,29,2781.7931
0,414,414,80114.0002,29,2762.5517
0,415,415,80053.9999,29,2760.4828
0,416,416,81135.0,29,2797.7586
0,417,417,81714.0,29,2817.7241
0,418,418,81038.0,29,2794.4138
0,419,419,78703.0002,29,2713.8966
0,420,420,80064.0,29,2760.8276
0,421,421,80369.0,29,2771.3448
0,422,422,79679.0,29,2747.5517
0,423,423,79913.0,29,2755.6207
0,424,424,80702.9999,29,2782.8621
0,425,425,81020.0001,29,2793.7931
0,426,426,80494.0001,29,2775.6552
0,427,427,79795.0,29,2751.5517
0,428,428,80640.0,29,2780.6897
0,429,429,80040.9999,29,2760.0345
0,430,430,79819.0001,29,2752.3793
0,431,431,80747.0,29,2784.3793
0,432,432,80219.0,29,2766.1724
0,433,433,80459.9999,29,2774.4828
0,434,434,82074.0,29,2830.1379
0,435,435,79615.0,29,2745.3448
0,436,436,84094.0001,29,2899.7931
0,437,437,80838.0001,29,2787.5172
0,438,438,79364.0003,29,2736.6897
0,439,439,80987.9998,29,2792.6896
0,440,440,82519.0002,29,2845.4828
0,441,441,79752.9999,29,2750.1034
0,442,442,80714.0,29,2783.2414
0,443,443,80786.0,29,2785.7241
0,444,444,80405.0002,29,2772.5862
0,445,445,81423.9999,28,2908.0
0,446,446,79626.0,28,2843.7857
0,447,447,81969.9999,28,2927.5
0,448,448,80295.0,28,2867.6786
0,449,449,79200.0002,28,2828.5714
0,450,450,81349.0,28,2905.3214
0,451,451,77897.9999,28,2782.0714
0,452,452,79566.0001,28,2841.6429
0,453,453,82982.9999,28,2963.6786
0,454,454,79170.0001,28,2827.5
0,455,455,88593.0002,28,3164.0357
0,456,456,78709.9999,28,2811.0714
0,457,457,81979.0,28,2927.8214
0,458,458,79358.0,28,2834.2143
0,459,459,79932.9998,28,2854.75
0,460,460,82216.9999,28,2936.3214
0,461,461,78997.0001,28,2821.3214
