position,mean_energy_mj,std_energy_mj,min_energy_mj,max_energy_mj,count,active_requests,step_energy_mj,phase
106,2612.0268,87.015,2558.1667,2712.4138,3,30,78360.8045,decode
107,2543.4425,60.8567,2473.5667,2584.8276,3,30,76303.276,decode
108,2571.2636,54.8243,2521.7241,2630.1667,3,30,77137.908,decode
109,2575.8061,21.6774,2552.5,2595.3667,3,30,77274.184,decode
110,2559.2429,47.2599,2508.2667,2601.6,3,30,76777.2874,decode
111,2560.3881,15.1006,2548.931,2577.5,3,30,76811.6436,decode
112,2648.0946,8.1112,2638.7333,2653.0333,3,30,79442.8391,decode
113,2569.1552,83.9728,2479.1333,2645.3667,3,30,77074.6552,decode
114,2542.6824,63.7407,2474.9,2601.4138,3,30,76280.4713,decode
115,2581.2425,22.0562,2566.8276,2606.6333,3,30,77437.276,decode
116,2566.6111,121.2004,2445.6,2688.0,3,30,76998.3332,decode
117,2790.7498,495.675,2492.4828,3362.9333,3,30,83722.4943,decode
118,2583.6027,72.1616,2524.5333,2664.0333,3,30,77508.0805,decode
119,2599.2077,103.7573,2479.4,2659.5333,3,30,77976.2299,decode
120,2622.446,56.3414,2570.1379,2682.1,3,30,78673.3792,decode
121,2592.3517,56.2858,2536.9333,2649.4667,3,30,77770.5519,decode
122,2601.2061,148.7103,2442.6333,2737.5517,3,30,78036.1839,decode
123,2612.0,14.0545,2601.0,2627.8333,3,30,78360.0001,decode
124,2610.2739,60.9215,2573.6552,2680.6,3,30,78308.2183,decode
125,2592.7552,60.7482,2526.5667,2645.9655,3,30,77782.6552,decode
126,2555.3966,29.9896,2521.4,2578.1,3,30,76661.8966,decode
127,2576.3452,87.6215,2520.069,2677.3,3,30,77290.3563,decode
128,2576.0575,35.371,2541.6667,2612.3333,3,30,77281.7242,decode
129,2524.1119,72.916,2453.069,2598.7667,3,30,75723.3563,decode
130,2603.5839,78.5189,2552.5517,2694.0,3,30,78107.5172,decode
131,2562.4851,69.2381,2485.1333,2618.6667,3,30,76874.5517,decode
132,2550.2686,52.5805,2510.7,2609.9333,3,30,76508.0575,decode
133,2621.1188,27.1249,2592.8,2646.8667,3,30,78633.5632,decode
134,2515.6797,53.6781,2455.2,2557.6667,3,30,75470.3907,decode
135,2523.3192,67.3008,2472.7241,2599.7,3,30,75699.5747,decode
136,2601.1123,26.0413,2584.2333,2631.1034,3,30,78033.3677,decode
137,2547.2464,48.4704,2494.9333,2590.6333,3,30,76417.3908,decode
138,2594.2456,101.5117,2489.0333,2691.6,3,30,77827.3677,decode
139,2592.2916,44.2405,2541.2333,2619.2414,3,30,77768.7472,decode
140,2559.5506,79.5821,2468.4667,2615.6333,3,30,76786.5174,decode
141,2574.477,93.0801,2488.931,2673.6,3,30,77234.3104,decode
142,2563.9188,82.9895,2481.7333,2647.6896,3,30,76917.5631,decode
143,2554.7349,96.7137,2447.0,2634.0667,3,30,76642.0461,decode
144,2633.7356,64.0363,2563.2069,2688.2333,3,30,79012.0689,decode
145,2594.9142,41.9016,2550.8667,2634.2759,3,30,77847.4252,decode
146,2539.8287,103.6347,2432.5333,2639.3667,3,30,76194.8621,decode
147,2567.8874,82.1837,2475.8621,2633.9667,3,30,77036.6207,decode
148,2610.3226,40.9713,2569.0,2650.9333,3,30,78309.6783,decode
149,2584.1046,96.7406,2475.3,2660.4138,3,30,77523.1379,decode
150,2603.1364,55.5575,2561.7333,2666.2759,3,30,78094.0919,decode
151,2582.7249,8.9881,2576.0,2592.9333,3,30,77481.7471,decode
152,2542.7582,104.8434,2427.4,2632.2414,3,30,76282.7473,decode
153,2591.6874,57.2749,2549.8621,2656.9667,3,30,77750.6206,decode
154,2582.0858,31.9569,2546.1667,2607.3667,3,30,77462.5747,decode
155,2543.0119,62.101,2471.3333,2580.6333,3,30,76290.3563,decode
156,2585.6962,40.6319,2555.5333,2631.9,3,30,77570.885,decode
157,2577.7452,119.3389,2493.069,2714.2333,3,30,77332.3563,decode
158,2549.9065,89.9041,2448.2333,2618.9,3,30,76497.1954,decode
159,2584.0563,44.2805,2551.6,2634.5,3,30,77521.6895,decode
