round,request_idx,pool_idx,source,prompt_len,generated_tokens,inject_time_s,is_warmup,request_id
0,160,0,python_code,50,0,280.06,False,stream_139960412207088_160_14160291830020901
0,161,1,WizardLM,14,0,282.02,False,stream_139960412207088_161_14160293787855243
0,162,2,python_code,50,0,284.01,False,stream_139960412207088_162_14160295776325166
0,163,3,WizardLM,82,0,286.05,False,stream_139960412207088_163_14160297819482030
0,164,4,python_code,13,0,288.01,False,stream_139960412207088_164_14160299779286004
0,165,5,python_code,47,0,290.05,False,stream_139960412207088_165_14160301819638393
0,166,6,python_code,15,0,292.06,False,stream_139960412207088_166_14160303829432888
0,167,7,LongForm,395,0,294.05,False,stream_139960412207088_167_14160305815129734
0,168,8,WizardLM,140,0,296.08,False,stream_139960412207088_168_14160307848494919
0,169,9,LongForm,14,0,298.01,False,stream_139960412207088_169_14160309772454813
0,170,10,LongForm,12,0,300.01,False,stream_139960412207088_170_14160311777172636
0,171,11,python_code,14,0,302.04,False,stream_139960412207088_171_14160313808215243
0,172,12,WizardLM,133,0,304.05,False,stream_139960412207088_172_14160315817750746
0,173,13,python_code,18,0,306.07,False,stream_139960412207088_173_14160317834701422
0,174,14,python_code,50,0,308.07,False,stream_139960412207088_174_14160319836226584
0,175,15,WizardLM,154,0,310.01,False,stream_139960412207088_175_14160321778178695
0,176,16,WizardLM,16,0,312.06,False,stream_139960412207088_176_14160323824487327
0,177,17,WizardLM,66,0,314.02,False,stream_139960412207088_177_14160325790047686
0,178,18,LongForm,15,0,316.06,False,stream_139960412207088_178_14160327823357406
0,179,19,LongForm,263,0,318.03,False,stream_139960412207088_179_14160329799543870
0,180,0,python_code,50,0,320.01,False,stream_139960412207088_180_14160331772076684
0,181,1,WizardLM,14,0,322.07,False,stream_139960412207088_181_14160333838170975
0,182,2,python_code,50,0,324.06,False,stream_139960412207088_182_14160335824707177
0,183,3,WizardLM,82,0,326.06,False,stream_139960412207088_183_14160337821402664
0,184,4,python_code,13,0,328.06,False,stream_139960412207088_184_14160339825666904
0,185,5,python_code,47,0,330.04,False,stream_139960412207088_185_14160341808564755
0,186,6,python_code,15,0,332.04,False,stream_139960412207088_186_14160343809937110
0,187,7,LongForm,395,0,334.03,False,stream_139960412207088_187_14160345798420644
0,188,8,WizardLM,140,0,336.06,False,stream_139960412207088_188_14160347828890341
0,189,9,LongForm,14,0,338.02,False,stream_139960412207088_189_14160349782768771
0,190,10,LongForm,12,0,340.04,False,stream_139960412207088_190_14160351807740997
0,191,11,python_code,14,0,342.04,False,stream_139960412207088_191_14160353803212962
0,192,12,WizardLM,133,0,344.05,False,stream_139960412207088_192_14160355816735171
0,193,13,python_code,18,0,346.06,False,stream_139960412207088_193_14160357823146104
0,194,14,python_code,50,0,348.07,False,stream_139960412207088_194_14160359832148588
0,195,15,WizardLM,154,0,350.01,False,stream_139960412207088_195_14160361775615771
0,196,16,WizardLM,16,0,352.05,False,stream_139960412207088_196_14160363819607690
0,197,17,WizardLM,66,0,354.08,False,stream_139960412207088_197_14160365843953055
0,198,18,LongForm,15,0,356.06,False,stream_139960412207088_198_14160367828653753
0,199,19,LongForm,263,0,358.01,False,stream_139960412207088_199_14160369774592489
0,200,0,python_code,50,0,360.05,False,stream_139960412207088_200_14160371817172243
0,201,1,WizardLM,14,0,362.07,False,stream_139960412207088_201_14160373832797770
0,202,2,python_code,50,0,364.02,False,stream_139960412207088_202_14160375788151458
0,203,3,WizardLM,82,0,366.02,False,stream_139960412207088_203_14160377786684190
0,204,4,python_code,13,0,368.02,False,stream_139960412207088_204_14160379782194393
0,205,5,python_code,47,0,370.01,False,stream_139960412207088_205_14160381771652849
0,206,6,python_code,15,0,372.01,False,stream_139960412207088_206_14160383772670355
0,207,7,LongForm,395,0,374.02,False,stream_139960412207088_207_14160385782685707
0,208,8,WizardLM,140,0,376.04,False,stream_139960412207088_208_14160387800938896
0,209,9,LongForm,14,0,378.05,False,stream_139960412207088_209_14160389812111608
0,210,10,LongForm,12,0,380.05,False,stream_139960412207088_210_14160391816127034
0,211,11,python_code,14,0,382.06,False,stream_139960412207088_211_14160393824630430
0,212,12,WizardLM,133,0,384.06,False,stream_139960412207088_212_14160395823593535
0,213,13,python_code,18,0,386.06,False,stream_139960412207088_213_14160397830046801
0,214,14,python_code,50,0,388.07,False,stream_139960412207088_214_14160399834556974
0,215,15,WizardLM,154,0,390.0,False,stream_139960412207088_215_14160401769129399
0,216,16,WizardLM,16,0,392.03,False,stream_139960412207088_216_14160403799683241
0,217,17,WizardLM,66,0,394.0,False,stream_139960412207088_217_14160405769761600
0,218,18,LongForm,15,0,396.06,False,stream_139960412207088_218_14160407828352532
0,219,19,LongForm,263,0,398.02,False,stream_139960412207088_219_14160409781313547
0,220,0,python_code,50,0,400.04,False,stream_139960412207088_220_14160411806134519
0,221,1,WizardLM,14,0,402.09,False,stream_139960412207088_221_14160413855954084
0,222,2,python_code,50,0,404.05,False,stream_139960412207088_222_14160415820922968
0,223,3,WizardLM,82,0,406.03,False,stream_139960412207088_223_14160417798057181
0,224,4,python_code,13,0,408.02,False,stream_139960412207088_224_14160419781736207
0,225,5,python_code,47,0,410.01,False,stream_139960412207088_225_14160421775615530
0,226,6,python_code,15,0,412.0,False,stream_139960412207088_226_14160423766081531
0,227,7,LongForm,395,0,414.08,False,stream_139960412207088_227_14160425844464585
0,228,8,WizardLM,140,0,416.06,False,stream_139960412207088_228_14160427828936743
0,229,9,LongForm,14,0,418.06,False,stream_139960412207088_229_14160429826697280
0,230,10,LongForm,12,0,420.05,False,stream_139960412207088_230_14160431812691981
0,231,11,python_code,14,0,422.06,False,stream_139960412207088_231_14160433828781566
0,232,12,WizardLM,133,0,424.06,False,stream_139960412207088_232_14160435830231489
0,233,13,python_code,18,0,426.06,False,stream_139960412207088_233_14160437821015370
0,234,14,python_code,50,0,428.07,False,stream_139960412207088_234_14160439834582574
0,235,15,WizardLM,154,0,430.08,False,stream_139960412207088_235_14160441850347676
0,236,16,WizardLM,16,0,432.02,False,stream_139960412207088_236_14160443786522975
0,237,17,WizardLM,66,0,434.06,False,stream_139960412207088_237_14160445824503680
0,238,18,LongForm,15,0,436.1,False,stream_139960412207088_238_14160447862732979
0,239,19,LongForm,263,0,438.04,False,stream_139960412207088_239_14160449805205485
0,240,0,python_code,50,0,440.0,False,stream_139960412207088_240_14160451767371444
0,241,1,WizardLM,14,0,442.02,False,stream_139960412207088_241_14160453788893356
0,242,2,python_code,50,0,444.07,False,stream_139960412207088_242_14160455833797813
0,243,3,WizardLM,82,0,446.02,False,stream_139960412207088_243_14160457782303461
0,244,4,python_code,13,0,448.07,False,stream_139960412207088_244_14160459831089087
0,245,5,python_code,47,0,450.04,False,stream_139960412207088_245_14160461806740613
0,246,6,python_code,15,0,452.01,False,stream_139960412207088_246_14160463776859806
0,247,7,LongForm,395,0,454.08,False,stream_139960412207088_247_14160465847273774
0,248,8,WizardLM,140,0,456.07,False,stream_139960412207088_248_14160467836202134
0,249,9,LongForm,14,0,458.07,False,stream_139960412207088_249_14160469838464692
